V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000173.G8	GBM cell 1	Brain	Homo sapiens	1001000173	G8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D4	GBM cell 2	Brain	Homo sapiens	1001000173	D4	Tumor	BT_S2	2	Oligodendrocyte	Regular
1001000173.B4	GBM cell 3	Brain	Homo sapiens	1001000173	B4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.A2	GBM cell 4	Brain	Homo sapiens	1001000173	A2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E2	GBM cell 5	Brain	Homo sapiens	1001000173	E2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F6	GBM cell 6	Brain	Homo sapiens	1001000173	F6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B12	GBM cell 7	Brain	Homo sapiens	1001000173	B12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D6	GBM cell 8	Brain	Homo sapiens	1001000173	D6	Tumor	BT_S2	9	OPC	Regular
1001000173.H1	GBM cell 9	Brain	Homo sapiens	1001000173	H1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E4	GBM cell 10	Brain	Homo sapiens	1001000173	E4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B6	GBM cell 11	Brain	Homo sapiens	1001000173	B6	Tumor	BT_S2	8	Immune cell	Regular
1001000173.C2	GBM cell 12	Brain	Homo sapiens	1001000173	C2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F4	GBM cell 13	Brain	Homo sapiens	1001000173	F4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E10	GBM cell 14	Brain	Homo sapiens	1001000173	E10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E6	GBM cell 15	Brain	Homo sapiens	1001000173	E6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.C4	GBM cell 16	Brain	Homo sapiens	1001000173	C4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B1	GBM cell 17	Brain	Homo sapiens	1001000173	B1	Tumor	BT_S2	2	Oligodendrocyte	Regular
1001000173.B10	GBM cell 18	Brain	Homo sapiens	1001000173	B10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.A7	GBM cell 19	Brain	Homo sapiens	1001000173	A7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B8	GBM cell 20	Brain	Homo sapiens	1001000173	B8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F9	GBM cell 21	Brain	Homo sapiens	1001000173	F9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.G6	GBM cell 22	Brain	Homo sapiens	1001000173	G6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.A9	GBM cell 23	Brain	Homo sapiens	1001000173	A9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D2	GBM cell 24	Brain	Homo sapiens	1001000173	D2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F2	GBM cell 25	Brain	Homo sapiens	1001000173	F2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.H9	GBM cell 26	Brain	Homo sapiens	1001000173	H9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.G1	GBM cell 27	Brain	Homo sapiens	1001000173	G1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B3	GBM cell 28	Brain	Homo sapiens	1001000173	B3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D7	GBM cell 29	Brain	Homo sapiens	1001000173	D7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.A12	GBM cell 30	Brain	Homo sapiens	1001000173	A12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.C1	GBM cell 31	Brain	Homo sapiens	1001000173	C1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.H7	GBM cell 32	Brain	Homo sapiens	1001000173	H7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.H5	GBM cell 33	Brain	Homo sapiens	1001000173	H5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.G2	GBM cell 34	Brain	Homo sapiens	1001000173	G2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.A3	GBM cell 35	Brain	Homo sapiens	1001000173	A3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D3	GBM cell 36	Brain	Homo sapiens	1001000173	D3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E1	GBM cell 37	Brain	Homo sapiens	1001000173	E1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.G12	GBM cell 38	Brain	Homo sapiens	1001000173	G12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.C10	GBM cell 39	Brain	Homo sapiens	1001000173	C10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.C3	GBM cell 40	Brain	Homo sapiens	1001000173	C3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D11	GBM cell 41	Brain	Homo sapiens	1001000173	D11	Tumor	BT_S2	7	Immune cell	Regular
1001000173.A5	GBM cell 42	Brain	Homo sapiens	1001000173	A5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.G4	GBM cell 43	Brain	Homo sapiens	1001000173	G4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.B11	GBM cell 44	Brain	Homo sapiens	1001000173	B11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.G9	GBM cell 45	Brain	Homo sapiens	1001000173	G9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F1	GBM cell 46	Brain	Homo sapiens	1001000173	F1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.D8	GBM cell 47	Brain	Homo sapiens	1001000173	D8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E12	GBM cell 48	Brain	Homo sapiens	1001000173	E12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.F11	GBM cell 49	Brain	Homo sapiens	1001000173	F11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000173.E5	GBM cell 50	Brain	Homo sapiens	1001000173	E5	Tumor	BT_S2	11	Neoplastic	Neoplastic
