"Dim1" "Dim2"
"1001000173.G8" 19.5557152452363 -66.4204228372216
"1001000173.D4" -66.4677675276436 -4.84019389862805
"1001000173.B4" 8.19781092663291 -63.7636457414275
"1001000173.A2" -6.46882443121625 -51.2836347553941
"1001000173.E2" -9.43624732707412 -53.8964304293743
"1001000173.F6" -9.93754096790847 -58.1771182387566
"1001000173.B12" 16.7466600367163 -71.0341808945354
"1001000173.D6" -37.5111095466011 37.4061282744385
"1001000173.H1" -0.217016850206965 -52.3380282511764
"1001000173.E4" 18.8838172708357 -70.7133279133638
"1001000173.B6" 11.4732457845601 31.7962269165305
"1001000173.C2" -3.25803388196449 -50.5995345113005
"1001000173.F4" -1.54644013348352 -53.5466573905141
"1001000173.E10" -5.09255753741691 -49.2079186524099
"1001000173.E6" -5.52760792853393 -46.5888880238091
"1001000173.C4" 13.6093341019144 -67.0991947483354
"1001000173.B1" -69.8432053052607 -7.53957023513831
"1001000173.B10" -8.69727802616452 -54.1010901214164
"1001000173.A7" -6.09866411059788 -50.0303948880754
"1001000173.B8" -7.53978820356895 -49.3423651262918
"1001000173.F9" -9.97986795384183 -46.4327838132225
"1001000173.G6" 5.89468675375008 -74.7142477752825
"1001000173.A9" 18.8249444279336 -67.9129171742665
"1001000173.D2" -3.42559983209049 -57.5805251874902
"1001000173.F2" 11.8440189450239 -74.0211463072255
"1001000173.H9" 19.2570358413908 -71.1232627292621
"1001000173.G1" 6.39400589926758 -65.3674744171761
"1001000173.B3" 3.04084691121126 -67.4190103411602
"1001000173.D7" 13.7952621404994 -68.9746472821407
"1001000173.A12" -5.19215560272052 -47.8452285335834
"1001000173.C1" 14.4401949215869 -72.0796643098021
"1001000173.H7" -6.77918395546746 -50.348291974496
"1001000173.H5" -7.25351277948241 -49.0856580963833
"1001000173.G2" -7.05169220099207 -60.5250079750132
"1001000173.A3" 11.9115208037806 -64.3460463328932
"1001000173.D3" -7.96313751165275 -48.6083168004253
"1001000173.E1" 12.9349067946961 -67.3481459937987
"1001000173.G12" 9.40891504908619 -65.8572634615811
"1001000173.C10" -7.65994027684217 -51.9592617079305
"1001000173.C3" 11.0641483167867 -57.2056898018485
"1001000173.D11" 20.5128114135374 32.0450916216398
"1001000173.A5" -3.90716149893339 -52.3776445073977
"1001000173.G4" 7.91814814663392 -64.5231126567807
"1001000173.B11" 12.3293419038826 -65.8452933475628
"1001000173.G9" -7.59232013252481 -50.6003925161049
"1001000173.F1" -4.4185529690797 -51.7631873785045
"1001000173.D8" 5.2646751281688 -57.643528943475
"1001000173.E12" 4.78727262551241 -58.3642525939677
"1001000173.F11" 11.6041668590916 -61.3307007614939
"1001000173.E5" 0.795134770463662 -65.2322321790031
"1001000173.G10" -8.24541071182688 -56.004630872286
"1001000173.B9" 2.32772554484103 -68.1072623155509
"1001000173.F8" 0.916749220792234 44.1068903516306
"1001000173.C7" 16.777331571439 -67.9097478565452
"1001000173.B2" -3.76482283031072 -50.2222662441628
"1001000173.H4" 21.2917165478776 -68.3900416017021
"1001000173.D1" 14.21336929943 36.8150657367324
"1001000174.G5" 12.7997646676106 -69.7147405381995
"1001000174.H9" -8.60317803727693 -50.4363773988197
"1001000174.H2" 17.8679664574856 38.9080659190904
"1001000174.E12" 21.562905928265 -65.8344615378831
"1001000174.A10" -5.36807795189852 -58.2653519046705
"1001000174.G10" -10.5205095393366 -54.7597545008133
"1001000174.C8" 16.1557870933487 -68.1728076439764
"1001000174.F6" 2.71541951000296 -56.9208463429716
"1001000174.B4" 11.2666119276476 -74.4304591820041
"1001000174.H7" 4.92523396715067 -59.0819663796051
"1001000174.E10" 19.4211571251734 -65.8456818033469
"1001000174.D5" 21.5510704160377 -68.0559585656903
"1001000174.E5" 17.9122168790949 -67.6439227093503
"1001000174.B11" -4.36704846661328 -45.8609530423027
"1001000174.F10" -2.80762614810907 -51.5544451049027
"1001000174.A5" -3.5525514456998 -54.4015573388274
"1001000174.B8" -2.59257819096951 -51.9129759099605
"1001000174.F2" 1.45781350149641 -72.1079217340038
"1001000174.F9" 3.51922373164488 -70.8376710936976
"1001000174.F4" 6.3336224506269 -60.5433037994537
"1001000174.C10" 11.2276792585558 32.9769878438424
"1001000174.B6" 6.57928392547141 -63.6835002064669
"1001000174.E2" 21.1941165532076 -69.3132733284379
"1001000174.G2" -9.61943535924754 -54.0125526783542
"1001000174.D8" 1.96439347569531 -53.1659730213278
"1001000174.H6" -0.0851022564210562 -63.0462654373069
"1001000174.C3" -9.90216476690863 -46.8798416851206
"1001000174.B7" 12.3080502791608 -68.628917914933
"1001000174.A7" -5.60375477945771 -48.2114003355726
"1001000174.H10" 0.894095104988761 -68.1835490245436
"1001000174.F7" 16.7304577595222 -69.8587706305687
"1001000174.A2" -6.6849838944032 -52.3228325782693
"1001000174.E4" 6.65581278021064 -57.3683183861216
"1001000174.D12" -2.9973975967893 -53.0498527002942
"1001000174.H4" -3.7593251595632 -52.4949350664313
"1001000174.C5" -6.76990932995558 -61.7940388513515
"1001000174.E9" -2.62772514467889 -47.1352216023958
"1001000174.D1" 16.5371512273201 -69.0366948768591
"1001000174.G4" 14.509974324676 -70.6351347982715
"1001000174.G9" 14.4532334414664 -68.6360605139752
